0.0005	3.1366556203025684e-11	-2.8351830281263215e-14	3.112929844554764e-11	1.2496874819835275e-7	5.670309013881723e-14	1.2496874819865016e-7	2.4993749639700296e-7	-1.986768277904441e-28	2.49937496397003e-7
0.001	6.309994561852236e-11	-4.590897110483248e-14	6.180969320002714e-11	4.997510695024681e-7	2.347254969184664e-13	4.997490101209524e-7	9.9950238515356e-7	-2.6760714279405813e-13	9.994982705918812e-7
0.0015	9.455120014246317e-11	-3.562409002153271e-13	9.286826159642616e-11	1.1241626577785403e-6	5.023705100863737e-12	1.1241501890600648e-6	2.2483268373634982e-6	-2.80128393882249e-12	2.2483018367609062e-6
0.002	1.2707005078860409e-10	-4.0336289637900073e-13	1.2296155072125968e-10	1.9980184668521385e-6	8.494914105000702e-12	1.997981588391495e-6	3.996042148053286e-6	-8.8633852502164e-12	3.995967943152752e-6
0.0025	1.5870840680457282e-10	-2.7887994048917924e-13	1.5531019286442428e-10	3.1211306568114778e-6	3.78629382779579e-12	3.1210480497815297e-6	6.242273874247323e-6	-2.014589357732554e-11	6.2421086553231715e-6
0.003	1.8899605435987674e-10	2.611264818966723e-13	1.874047964796996e-10	4.49329952385809e-6	-3.195274304158982e-11	4.493170693793782e-6	8.986624626995767e-6	-2.619189635268483e-11	8.986368646889787e-6
0.0035	2.2130098689395556e-10	-1.8514212427480602e-13	2.1839253160379157e-10	6.114341944167077e-6	2.231334700335045e-12	6.114158113420888e-6	1.222873196691471e-5	-3.1180599943400296e-11	1.2228366797138932e-5
0.004	2.5378200053611214e-10	-1.0636975247176446e-12	2.4951689794297824e-10	7.984074302024042e-6	1.080936208522393e-10	7.983806184715485e-6	1.5968233116146456e-5	-5.4861430991904814e-11	1.596769841903093e-5
0.0045	2.8730591899913843e-10	-9.643538458638183e-13	2.8005724416864517e-10	1.0102310801032362e-5	1.0666771650803317e-10	1.0101912610858595e-5	2.0204760996304765e-5	-9.820932214086917e-11	2.0203962632601967e-5
0.005	3.1862300797099384e-10	-7.945584084792468e-13	3.104211071772528e-10	1.246887879228929e-5	8.397765097070366e-11	1.2468288664668913e-5	2.493797072796139e-5	-1.4871663988216802e-10	2.4936784480370038e-5
0.0055	3.502303489710132e-10	-5.922054628796081e-13	3.4073725721902793e-10	1.5083598320584397e-5	4.8368637878855256e-11	1.5082758268889829e-5	3.0167504689986276e-5	-1.9082529419972197e-10	3.016582262147852e-5
0.006	3.819663162751171e-10	-7.971833618554551e-13	3.7273640176511253e-10	1.7946275150699446e-5	1.0918286490321497e-10	1.7945120398161162e-5	3.589297654338901e-5	-2.384875491544012e-10	3.589068233901429e-5
0.0065	4.142813704252675e-10	-2.438196492595716e-13	4.0553568929918225e-10	2.1056670301378262e-5	-5.925241932604789e-11	2.1055188933735313e-5	4.211393784785816e-5	-2.891065762693723e-10	4.211098613578421e-5
0.007	4.4583050583556215e-10	-4.5083272898935135e-13	4.3735008904507006e-10	2.4414602793590857e-5	9.484546325167317e-12	2.441277068755609e-5	4.883001148222706e-5	-3.4024603088177984e-10	4.8826360350538013e-5
0.0075	4.782754126622719e-10	1.306858542146869e-13	4.693667799439646e-10	2.801988581335408e-5	-2.3996636131057257e-10	2.801767431274071e-5	5.604083975274947e-5	-3.762820535475839e-10	5.6036424231211734e-5
0.008	5.095675911441686e-10	-1.5128034229793629e-12	4.997044918064777e-10	3.187236125566461e-5	5.565299073403903e-10	3.18697017311275e-5	6.374610191831143e-5	-4.438351201872099e-10	6.374080031564193e-5
0.0085	5.412309351958735e-10	-5.023778926456588e-13	5.327707273745458e-10	3.597180969155274e-5	2.295831436474407e-11	3.596868486575074e-5	7.194538706334271e-5	-5.484972211974774e-10	7.19391484300896e-5
0.009	5.725254622501117e-10	1.6526778828661036e-13	5.634823432250607e-10	4.03180621916255e-5	-3.8629897692671833e-10	4.031442048753553e-5	8.06383207926402e-5	-5.879874363735243e-10	8.063108550157696e-5
0.0095	6.040082917690001e-10	5.067095183242512e-13	5.921000065073255e-10	4.4910975776282625e-5	-6.664913670086385e-10	4.4906744421004786e-5	8.982468201062293e-5	-6.066722636975603e-10	8.981626212448666e-5
0.01	6.353947915163977e-10	1.469298798780351e-12	6.250084267955303e-10	4.975035872409987e-5	-1.4457672707416291e-9	4.974543281143286e-5	9.950404941803528e-5	-5.639759196542869e-10	9.949429398816692e-5
0.0105	6.668812099287369e-10	1.88586588390425e-12	6.567167991716179e-10	5.483594364738668e-5	-1.8696440024732946e-9	5.483032698618884e-5	0.00010967593065499584	-4.5015225153553123e-10	0.0001096648176615137
0.011	6.988716158917702e-10	1.960844787802914e-12	6.876107151410986e-10	6.016759335481284e-5	-2.0206774031549158e-9	6.016118782139843e-5	0.00012034002416462484	-2.9806193846262554e-10	0.00012032745207531867
0.0115	7.305715339335666e-10	3.697967265718184e-12	7.195690924698948e-10	6.574511517917306e-5	-3.949670346191455e-9	6.573786704755643e-5	0.00013149596284964542	-6.462879732259041e-11	0.00013148180740395562
0.012	7.631792803640288e-10	5.41838669782023e-12	7.537349078691903e-10	7.15682449830064e-5	-6.065806488709342e-9	7.156010394378614e-5	0.0001431432260785002	3.690243496875593e-10	0.0001431274794711959
0.0125	7.93383374798237e-10	5.653847874119708e-12	7.834525291099171e-10	7.763677984943613e-5	-6.624587293779927e-9	7.762784000744253e-5	0.00015528153153977688	9.220324031094081e-10	0.00015526417553021852
