0.0005	6.285885512808881e-11	1.689208853030737e-13	6.310057609343266e-11	1.2493650033265518e-7	-3.3784162166648867e-13	1.2493650033467044e-7	2.49873000667323e-7	-2.3729457055898714e-26	2.49873000667323e-7	2.49873000667323e-7
0.001	3.134500559429489e-10	-1.0780784708373825e-12	3.142024027761243e-10	4.99365788450519e-7	3.0271907634650243e-12	4.993672869026622e-7	9.987325846165196e-7	-1.0664757248257574e-12	9.987355812953164e-7	9.987337028988848e-7
0.0015	8.835982412603731e-10	1.2642175266943286e-13	8.771537933081712e-10	1.1227148943337336e-6	7.179375169231387e-12	1.1227123295295858e-6	2.2454359016282374e-6	-8.590671935778164e-12	2.24543077342809e-6	2.2454306783481494e-6
0.002	1.8624438367028564e-9	2.1141351710988438e-11	1.875104743784469e-9	1.9944658125397245e-6	-5.6624928535582524e-11	1.9944500543266337e-6	3.988951771117146e-6	-3.717743050611723e-12	3.988920267275677e-6	3.988926654815973e-6
0.0025	3.413904768989093e-9	3.031183619178191e-11	3.4150111979169716e-9	3.11402284026112e-6	-1.1403557561878413e-10	3.113994004039314e-6	6.228095577645266e-6	4.174727213072415e-11	6.228037920894417e-6	6.228042842118107e-6
0.003	5.6694169521898175e-9	5.955734170539013e-11	5.641302290755443e-9	4.480814849617788e-6	-2.5771771947077335e-10	4.480761468484564e-6	8.96173470606128e-6	1.3438531482729296e-10	8.961627922422848e-6	8.961630600256359e-6
0.0035	8.714504823650124e-9	1.539843050818714e-11	8.60815891102478e-9	6.094410976688519e-6	-1.9330027365109487e-10	6.0943053477127395e-6	1.2189016007012193e-5	2.696265478078945e-10	1.2188804644592988e-5	1.2188815031967817e-5
0.004	1.2607483218844721e-8	1.6293710182369168e-11	1.2590606724494064e-8	7.954118923240462e-6	-2.82998545089269e-10	7.953950204705063e-6	1.5908569015405412e-5	4.2889873336580377e-10	1.5908231352706975e-5	1.5908236212299626e-5
0.0045	1.7587101102977352e-8	-1.1481085135267314e-10	1.7604668200240843e-8	1.0059297464406612e-5	1.4486786057229974e-10	1.0059080295248858e-5	2.011912922630961e-5	5.714577903482024e-10	2.0118694283407193e-5	2.0118647486242095e-5
0.005	2.354146804888951e-8	-3.0196589377041846e-11	2.382790448073727e-8	1.2409719172916873e-5	-1.5925333622009586e-10	1.2409501502720608e-5	2.482025491246628e-5	6.980218709359856e-10	2.48198191209834e-5	2.4819632577846723e-5
0.0055	3.085327177661642e-8	-1.1818348221450627e-10	3.115039684604807e-8	1.5004725058695643e-5	-1.764420922821284e-11	1.5004587507900569e-5	3.0010640305763135e-5	8.724478328022101e-10	3.0010365099267668e-5	3.0009909386465853e-5
0.006	3.947495746909834e-8	-3.1172981653983525e-10	3.967231078606431e-8	1.7844214344020747e-5	6.009139568561276e-10	1.7844165904577186e-5	3.569010777271254e-5	9.994983094745315e-10	3.569000854868976e-5	3.5689217559583965e-5
0.0065	4.983546850102815e-8	-2.018746403243677e-10	4.970210965078567e-8	2.0926853827720673e-5	7.770364887752056e-10	2.092687121435886e-5	4.185601606824978e-5	1.059611452254581e-9	4.185604694220934e-5	4.1854874877171484e-5
0.007	6.160282165875137e-8	-1.4003880463442982e-10	6.181462141321522e-8	2.425199463450368e-5	7.502915059067923e-10	2.4252074148478187e-5	4.850709087076174e-5	1.1173394010287637e-9	4.8507248190783736e-5	4.850561559045369e-5
0.0075	7.558078315885578e-8	1.7897589945375068e-10	7.557211842549225e-8	2.7818990858920497e-5	-1.6680764334623124e-11	2.7819150783989216e-5	5.5642075352806616e-5	1.187709792293763e-9	5.564239351168317e-5	5.5640188869314715e-5
0.008	9.064236999285167e-8	5.41433514512147e-10	9.099050965022589e-8	3.1628809345262965e-5	-1.0657226008252054e-9	3.162905221528626e-5	6.32629022606593e-5	1.4045924089235812e-9	6.32633809328235e-5	6.326049673475806e-5
0.0085	1.0855438911179644e-7	6.946130409212377e-10	1.0904659245913204e-7	3.5677661003162725e-5	-1.5629894840340355e-9	3.5678003858344647e-5	7.136205999944344e-5	1.7267281088047362e-9	7.136273588812858e-5	7.135903160300899e-5
0.009	1.2841107438431476e-7	1.0924543610372478e-9	1.2849455308063453e-7	3.9968279573671865e-5	-2.177788249635862e-9	3.9968725651846704e-5	7.99450079709245e-5	2.1408047020570114e-9	7.994589948333743e-5	7.994122622967236e-5
0.0095	1.5011931131193247e-7	1.6142749465672488e-9	1.5078023343379318e-7	4.4499548326427946e-5	-4.7081064422486045e-9	4.450008660079628e-5	8.900958524246445e-5	2.7223400816249896e-9	8.901065478756328e-5	8.900487535387882e-5
0.01	1.7434005360510294e-7	1.9211079597866497e-9	1.7503006419601115e-7	4.9269605537546347e-5	-6.015642678836806e-9	4.927021921201742e-5	9.855212208979493e-5	3.5694202870657403e-9	9.855332955820434e-5	9.854629028522579e-5
0.0105	2.0160680767265512e-7	1.6449269705580524e-9	2.012486521830829e-7	5.4278849402620164e-5	-6.4174229746960865e-9	5.427947842293846e-5	0.00010857340815993267	4.5188859085092606e-9	0.00010857463670460753	0.0001085662050361149
0.011	2.3023544585271164e-7	1.8011041597963186e-9	2.3204809100040028e-7	5.952506516291719e-5	-7.748943681191444e-9	5.952570968942955e-5	0.00011906907125146967	5.585575098073319e-9	0.0001190703488268438	0.00011906030134191117
0.0115	2.6171008826879906e-7	1.5588465661770019e-9	2.6358729211303074e-7	6.501179802404e-5	-7.726275526740507e-9	6.501263607526004e-5	0.00013004620628661478	6.90619656141968e-9	0.00013004787639724253	0.00013003580915086464
